Test_Time,Current_A,Voltage_V
28629.12235,0.000190588,3.552144527
28630.12361,0.000190588,3.551836729
28631.12362,0.000190588,3.551836729
28632.12363,0.000190588,3.551836729
28633.13364,0.000190588,3.551529169
28634.14366,2.76E-06,3.551221371
28635.14366,2.76E-06,3.551221371
28636.14367,0.000190588,3.550605774
28637.14368,0.000190588,3.550605774
28638.14369,0.000190588,3.550297976
28639.1437,0.000190588,3.550297976
28640.15369,0.000378419,3.549682379
28641.15495,0.000190588,3.549682379
28642.15496,0.000190588,3.549682379
28643.15496,0.000190588,3.549066782
28644.15498,0.000190588,3.549066782
28645.15499,0.000190588,3.548758984
28646.155,0.000190588,3.548451424
28647.155,0.000190588,3.548451424
28648.15501,0.000190588,3.548143625
28649.15508,-0.925253093,3.405027866
28650.15514,-0.910602272,3.392101288
28651.16503,-1.475973845,3.295459747
28652.16504,-1.802987695,3.229287863
28653.16632,-2.03646183,3.177581549
28654.16766,-2.25096488,3.129568577
28655.16768,-0.614204824,3.369941473
28656.1677,-0.89595145,3.331161737
28657.16782,-2.679595232,3.050470114
28658.1776,-1.266354322,3.250832081
28659.17781,-1.023113132,3.287765265
28660.17784,-0.443090737,3.375789165
28661.18772,0.082836263,3.460427523
28662.18782,0.170553371,3.479201794
28663.18789,0.170553371,3.483202934
28664.19774,0.121341631,3.478278399
28665.20764,0.160786152,3.48628068
28666.20775,1.106327772,3.635859728
28667.21778,0.691596746,3.582306623
28668.22769,-0.174867973,3.451194286
28669.23769,-0.442902923,3.405027866
28670.23769,-0.452670127,3.399795532
28671.2377,-0.584715366,3.376096964
28672.2377,-1.159854054,3.282533169
28673.23772,-1.939353108,3.152343988
28674.23774,-2.148972511,3.10771656
28675.23782,-1.978421926,3.124028683
28676.23783,-0.521416306,3.344703674
28677.24774,-0.053529099,3.421339989
28678.24785,-0.184823021,3.404104471
28679.24787,0.555794895,3.521367073
28680.25787,1.03288579,3.60200429
28681.25803,0.706623256,3.559223413
28682.26778,0.399331629,3.515211582
28683.26789,-0.189518794,3.424109936
28684.26791,-1.71076262,3.183121443
28685.27781,-2.099948645,3.108947515
28686.27781,-2.007535696,3.112640858
28687.27794,-2.026694536,3.101868868
28688.27794,-1.471278071,3.182198286
28689.27806,-0.828144431,3.280070782
28690.27806,-0.710750043,3.298537493
28691.27932,-0.511461258,3.329314947
28692.28931,0.073256873,3.421339989
28693.29912,-0.214312494,3.379482508
28694.29931,-0.574760318,3.323159456
28695.30925,-0.506389797,3.332084894
28696.30926,-0.219196111,3.376404762
28697.30927,-0.214312494,3.377943516
28698.31015,-0.360069394,3.355475903
28699.31039,-0.979724109,3.257910967
28700.31058,-0.998507202,3.250524521
28701.32019,-0.530432165,3.321005106
28702.32066,0.024045134,3.408105612
28703.32068,0.126413062,3.426572084
28704.33068,-0.511461258,3.328083992
28705.34056,-0.862329721,3.271145344
28706.35048,-1.154782653,3.222208977
28707.35061,-0.394630313,3.337932825
28708.3605,0.01991285,3.403796673
28709.3605,-0.892006993,3.262527704
28710.3606,-1.125293255,3.222516775
28711.37052,-1.368910074,3.180659294
28712.37054,-1.798104048,3.108947515
28713.37064,-1.339984059,3.175734997
28714.37067,-1.145015478,3.204358101
28715.38055,-0.867213309,3.246215582
28716.38063,-0.876980543,3.244061232
28717.38066,-0.892006993,3.240675688
28718.38069,-0.491926819,3.302230835
28719.38196,-0.155897036,3.355475903
28720.38206,-0.316680431,3.331469536
28721.38207,-0.316680431,3.331777096
28722.39199,-0.648014426,3.280070782
28723.39317,-1.042647481,3.216669083
28724.39332,0.073069043,3.389023542
28725.40313,0.136180282,3.401642323
28726.4033,0.073256873,3.39394784
28727.40337,-0.852562487,3.249293327
28728.41326,-1.168682218,3.196663618
28729.41337,-1.037951708,3.214206934
28730.4134,-0.745123088,3.258218765
28731.42328,-0.667361021,3.269298792
28732.42338,-0.331519097,3.321928501
28733.42339,0.136180282,3.396102428
28734.42341,0.20511429,3.408721209
28735.42342,-0.632987976,3.278839827
28736.43295,-0.867401123,3.240060091
28737.43333,-1.188592315,3.187430382
28738.43344,-1.213010311,3.180659294
28739.4432,-1.335288286,3.159422874
28740.44346,-1.110642314,3.192047119
28741.44348,-0.803538561,3.238521099
28742.45347,-0.184823021,3.335470438
28743.45348,0.136180282,3.38748455
