Test_Time,Current_A,Voltage_V
17023.87357,0,3.552452326
17024.88478,0.000190588,3.552144527
17025.88479,0.000190588,3.552144527
17026.8848,2.76E-06,3.551529169
17027.8948,0.000190588,3.551529169
17028.89482,2.76E-06,3.551221371
17029.89483,-0.00131206,3.550913572
17030.89484,-0.00131206,3.550605774
17031.89485,-0.009576628,3.549066782
17032.89486,-0.019907337,3.54722023
17033.90486,-0.393503338,3.489358425
17034.90611,-1.640889525,3.289611816
17035.90612,-2.038527966,3.204973698
17036.90614,-2.040218353,3.184044838
17037.90615,0.049777992,3.491820574
17038.91614,0.050153654,3.505362749
17039.9262,-1.968279004,3.178504944
17040.93616,-1.311245918,3.26560545
17041.93632,-1.176571131,3.282533169
17042.93759,-1.244002461,3.268375397
17043.94744,-1.065938592,3.29084301
17044.95744,-1.626614332,3.20035696
17045.96745,-1.249637365,3.250524521
17046.96746,-0.492678136,3.365632534
17047.96747,0.087719865,3.458272934
17048.96748,0.087719865,3.46319747
17049.97748,0.366085529,3.50936389
17050.9775,0.138997748,3.479201794
17051.97751,0.083775416,3.471815109
17052.97753,-0.184823021,3.430881023
17053.98752,-0.646323979,3.357630253
17054.98752,0.012023945,3.456426382
17055.98754,-0.188391805,3.42749548
17056.98754,0.335469037,3.509056091
17057.98755,0.585284352,3.552452326
17058.98761,0.566876948,3.554606915
17059.99763,0.522736609,3.552144527
17061.00769,0.382238984,3.533678055
17062.01758,0.297527164,3.522290468
17063.01759,0.147450149,3.500438213
17064.01759,0.024608627,3.481356144
17065.01761,0.000378419,3.477047443
17066.01762,0.000190588,3.476431847
17067.02763,0.000378419,3.476431847
17068.03762,0.000190588,3.476431847
17069.03764,0.000190588,3.476431847
17070.03764,0.000190588,3.476739645
17071.03765,2.76E-06,3.476431847
17072.03766,0.000378419,3.476739645
17073.03767,-0.011642769,3.474892855
17074.03769,-1.152153015,3.295459747
17075.04768,-1.28401041,3.264066458
17076.05769,-0.935959458,3.310848475
17077.05771,-1.371727586,3.238213301
17078.05772,-2.08285594,3.119104147
17079.06772,-2.048482895,3.113872051
17080.06772,-1.327399373,3.21943903
17081.06774,-2.011480093,3.108639717
17082.06774,-2.337179184,3.049546957
17083.06775,-2.27782464,3.050777912
17084.06777,-1.802987695,3.119104147
17085.06777,-1.168682218,3.215130329
17086.07777,-1.657230735,3.13757062
17087.07779,-1.574960828,3.146188498
17088.07793,-1.718275905,3.120950937
17089.08779,-1.45662725,3.158191681
17090.08781,-1.335851789,3.174811602
17091.08782,-1.03306818,3.220670223
17092.09782,-0.129225016,3.361631393
17093.09783,-0.456802398,3.313310623
17094.09784,-0.045828026,3.377943516
17095.09784,0.064053155,3.397333384
17096.09786,0.064804479,3.399487972
17097.10786,-0.191209272,3.360708237
17098.10787,-0.508643806,3.311156273
17099.10787,-0.191209272,3.36009264
17100.10788,0.065555803,3.401334524
17101.10791,0.187646002,3.421955585
17102.11805,-0.094288439,3.379482508
17103.11932,-0.244553298,3.356091499
17104.12918,-0.242862821,3.355783701
17105.13917,-0.395193815,3.331777096
17106.13918,-0.396508634,3.330546141
17107.13919,-0.708120406,3.281301975
17108.14045,-1.035885572,3.227749109
17109.14046,-1.553360224,3.143110752
17110.14047,-1.950247288,3.076015472
17111.14047,-2.119482994,3.044314623
17112.14064,-2.022562265,3.054163456
17113.15049,-2.003215551,3.053240299
17114.1505,-2.267306089,3.007997274
17115.16051,-2.453258991,2.974449635
17116.16051,-2.135824442,3.019692659
17117.16052,-2.202316523,3.006766081
17118.16069,-1.632061481,3.09325099
17119.17054,-0.818940699,3.220054626
17120.17055,-0.718638897,3.236982346
17121.17056,-0.199661672,3.318850517
17122.17057,0.483292103,3.428418875
17123.17183,0.353688657,3.411491156
17124.17183,0.319127738,3.408721209
17125.17184,0.198915869,3.391793489
17126.17185,0.198164538,3.392716885
17127.17187,0.283064187,3.407182217
17128.17187,0.333966404,3.41703105
17129.18187,0.301847279,3.413645506
17130.18313,0.322884381,3.418262243
17131.19292,0.266910702,3.41056776
17132.19314,0.310863167,3.4191854
17133.19315,0.280810207,3.415492296
17134.19316,0.297715008,3.4191854
17135.19317,0.246437117,3.412106752
17136.19318,0.283815503,3.4191854
17137.19318,0.395199329,3.437652111
17138.1932,0.486860901,3.453656435
17139.19445,0.354627818,3.434574366
17140.19446,0.135428965,3.401026726
17141.19446,0.131860167,3.400718927
17142.19447,0.161349654,3.405643463
17143.19449,0.698734343,3.490897179
17144.1945,0.604818821,3.478586197
17145.20451,0.400082946,3.448424101
17146.20452,0.292455733,3.432419777
17147.20456,0.224836543,3.421955585
17148.21454,0.124910422,3.406874418
17149.21454,0.043016072,3.394255638
17150.21455,0.008642986,3.388407946
17151.21457,0.003759379,3.38748455
17152.22455,0.000190588,3.386868954
17153.22457,0.000190588,3.386868954
17154.22458,0.000190588,3.386868954
17155.22458,0.000190588,3.387176752
17156.22459,0.000190588,3.387176752
17157.23459,0.000190588,3.387176752
17158.23461,0.000190588,3.387176752
17159.23461,0.000378419,3.38748455
17160.23462,-0.114010707,3.369325876
17161.23463,-0.898017585,3.245599985
17162.23464,-1.668500662,3.120643139
17163.23464,-2.259604931,3.022154808
17164.23465,-2.875315189,2.919357777
17165.23465,-2.635455132,2.950135231
17166.23592,-2.779145718,2.922435522
17167.23594,-2.846577168,2.906738997
17168.23721,-1.759786606,3.072630167
17169.23731,-1.281005144,3.147419453
17170.24721,-1.11139369,3.173580408
17171.24727,-1.36966145,3.132646322
17172.2572,-0.884869397,3.207435846
17173.25723,-1.211695433,3.156037331
17174.25734,-0.853877306,3.211129189
17175.25734,-0.633927107,3.245599985
17176.25751,-0.640876889,3.245292187
17177.26736,-0.968454242,3.193893671
17178.26861,-0.343540281,3.29084301
17179.26878,-0.343352437,3.291766405
17180.2698,-0.988176525,3.190815926
17181.27001,-1.765985012,3.067090034
17182.27004,-0.880549312,3.203434706
17183.27127,-1.413613915,3.119411945
17184.28102,-0.660223484,3.236366749
17185.28129,-1.461886525,3.110794306
17186.29081,-0.689149439,3.22990346
17187.29131,-0.694784403,3.229595661
17188.30121,-0.700982809,3.229287863
17189.30128,0.085841559,3.352398157
17190.30133,0.249818087,3.380405664
17191.31122,-0.23328343,3.306231737
17192.32108,-0.1453785,3.320081711
17193.32248,0.007703831,3.344703674
17194.32251,-0.560109496,3.256372213
